CustomerID,Age,Gender,AnnualIncome,WebsiteVisits,TimeOnApp,PreviousPurchases,CampaignResponse,PurchaseDecision,PurchaseAmount,LoyaltyPoints,PreferredDevice,Region
44,21,Male,600573,6,18.1,3,Yes,No,0,4402,Desktop,West
45,42,Female,261476,3,10.5,3,Yes,Yes,14277,4874,Mobile,South
46,31,Male,1415856,19,18.4,1,Yes,Yes,83801,2551,Tablet,North
47,26,Female,875510,15,44.7,3,Yes,Yes,46603,3657,Desktop,West
48,43,Male,898646,5,52.1,0,Yes,No,0,7,Mobile,East
49,19,Female,837144,10,50.7,5,No,Yes,33053,2555,Tablet,West
50,37,Male,614568,7,26.8,0,No,Yes,34495,475,Tablet,South
51,45,Female,1434717,17,41.7,9,No,Yes,73641,2211,Mobile,North
52,64,Female,1098320,7,16.3,5,No,No,0,484,Mobile,South
53,24,Female,834736,12,21.1,0,Yes,Yes,48185,4654,Desktop,East
54,61,Male,1426607,17,54.3,5,No,Yes,74696,2285,Tablet,East
55,25,Female,1168021,13,5.7,9,No,Yes,57708,4563,Tablet,East
56,64,Male,1367756,4,9.7,7,Yes,Yes,62266,3525,Mobile,South
57,52,Female,266234,10,16.4,1,Yes,Yes,12266,3339,Tablet,West
58,31,Male,378352,3,6.5,1,No,No,0,2822,Desktop,South
59,34,Female,1328035,9,15,3,No,Yes,62149,4943,Tablet,North
60,53,Male,609995,13,37.1,2,Yes,No,0,2924,Mobile,West
61,57,Male,395004,18,28.2,3,No,Yes,16847,258,Mobile,East
62,21,Female,666152,15,54.1,6,Yes,Yes,36250,282,Desktop,South
63,19,Male,1307739,4,50,0,Yes,No,0,1898,Desktop,East
64,23,Male,251934,15,23.8,5,Yes,No,0,4135,Tablet,East
65,59,Female,625523,2,19.3,2,Yes,No,0,2976,Tablet,North
66,21,Male,1040530,15,25.9,9,No,Yes,60376,2267,Mobile,West
67,46,Male,205486,8,37.5,6,Yes,Yes,12247,3200,Desktop,North
68,35,Male,1387983,8,19.7,9,Yes,Yes,63419,612,Desktop,North
69,43,Female,1073332,17,39.3,1,No,No,0,687,Desktop,North
70,61,Male,1239458,12,27.5,1,Yes,Yes,64195,3690,Tablet,East
71,51,Female,420184,19,35.4,3,No,No,0,612,Desktop,North
72,27,Male,866490,10,29,0,No,No,0,2307,Mobile,North
73,53,Male,522710,9,21.2,2,No,No,0,3013,Mobile,West
74,31,Male,397775,5,57.2,8,Yes,Yes,25871,1781,Tablet,West
75,48,Female,489336,6,47,6,No,No,0,2591,Tablet,North
76,32,Male,987494,2,12.7,6,No,No,0,2696,Desktop,West
77,25,Male,1338356,13,52.8,3,Yes,Yes,63868,3958,Tablet,West
78,31,Female,1401193,6,31.8,1,No,No,0,574,Mobile,North
79,40,Male,745977,5,54.2,3,No,Yes,36628,1910,Desktop,East
80,57,Female,1112606,1,49,5,No,No,0,3604,Mobile,North
81,38,Female,1089465,6,28.4,2,No,Yes,54546,669,Desktop,West
82,33,Male,733636,6,6.2,0,No,No,0,4364,Tablet,East
83,62,Female,1141218,16,19.8,7,Yes,Yes,53136,1283,Desktop,South
84,35,Male,238102,4,34.8,4,No,No,0,923,Desktop,East
85,64,Female,274460,11,39.8,4,No,No,0,1125,Mobile,West
86,41,Female,1338506,9,19.2,3,Yes,No,0,1529,Mobile,East
87,43,Male,379208,3,12.7,5,Yes,No,0,1594,Desktop,North
88,42,Female,1403273,19,50.9,2,Yes,Yes,73405,246,Tablet,South
89,62,Female,413945,8,59.1,8,No,No,0,3711,Tablet,South
90,58,Female,431915,5,33.9,4,Yes,Yes,20991,1560,Mobile,South
91,46,Female,927952,4,14.4,2,No,No,0,2400,Tablet,West
92,32,Female,408124,6,20,0,No,No,0,2243,Mobile,West
93,62,Male,637477,2,6,9,Yes,Yes,33971,3864,Tablet,South
94,18,Female,725830,11,55.3,5,Yes,No,0,1939,Desktop,East
95,42,Male,1426380,4,11.5,1,No,No,0,3069,Mobile,South
96,24,Female,239081,15,36.7,2,Yes,No,0,226,Mobile,East
97,26,Male,918216,6,20.1,0,No,Yes,41473,3547,Desktop,East
98,41,Male,555249,17,35.5,8,Yes,Yes,25575,264,Mobile,West
99,18,Female,1468506,6,40.8,7,Yes,Yes,77037,1395,Tablet,East
100,61,Female,1005497,19,50.6,1,Yes,No,0,3557,Tablet,South
101,25,Female,717313,2,16.4,7,No,No,0,645,Mobile,West
102,41,Male,1463108,15,5.6,8,Yes,Yes,71291,2990,Tablet,North
103,28,Female,812380,11,12.5,0,No,Yes,49253,1899,Mobile,North
104,34,Male,1276871,8,54.5,4,No,Yes,61845,2504,Desktop,West
105,25,Male,1262383,19,53.1,7,No,Yes,64242,2772,Mobile,South
106,52,Male,357504,13,37.9,1,No,No,0,1154,Desktop,North
107,52,Female,1486643,12,38,3,Yes,Yes,78995,587,Tablet,North
108,50,Female,892440,5,41.6,6,No,No,0,4571,Desktop,East
109,22,Male,594540,6,14.6,2,No,No,0,1821,Tablet,East
110,59,Male,717923,4,55.3,4,Yes,Yes,28804,985,Mobile,South
111,56,Female,1415557,19,28,7,No,Yes,61973,4079,Tablet,West
112,58,Male,944699,1,26.1,9,Yes,Yes,39606,3348,Mobile,South
113,45,Female,219870,17,33.5,2,No,No,0,3831,Mobile,West
114,24,Male,1152082,12,7.6,3,Yes,Yes,63917,1241,Desktop,North
115,26,Female,1451772,15,14.1,8,No,No,0,189,Desktop,East
116,25,Male,448683,1,45.6,6,Yes,Yes,19674,980,Desktop,South
117,29,Female,1483253,14,9.6,0,No,No,0,1698,Desktop,South
118,51,Male,226790,6,38.2,3,No,No,0,1715,Tablet,West
119,50,Female,1011721,5,18.5,3,Yes,Yes,63377,2593,Tablet,West
120,40,Female,648345,11,26.4,8,Yes,No,0,4136,Tablet,South
121,41,Male,949074,4,20.9,5,Yes,Yes,44632,4433,Mobile,West
122,54,Male,1334764,13,24.6,8,Yes,Yes,67660,1098,Tablet,South
123,52,Female,729036,11,44.5,5,No,No,0,2326,Tablet,South
124,61,Male,990141,3,21.3,5,No,No,0,3247,Tablet,South
125,57,Female,848249,1,36.2,4,Yes,No,0,895,Desktop,North
126,39,Male,1278931,6,31.2,4,No,No,0,1674,Tablet,West
127,44,Female,911131,18,41.5,1,Yes,No,0,2909,Mobile,East
128,52,Female,651015,10,56.5,7,Yes,Yes,40261,930,Desktop,East
129,18,Female,356542,5,45.3,7,No,Yes,27857,4384,Mobile,West
130,52,Female,1421992,10,16.8,0,No,No,0,723,Tablet,South
131,54,Female,505062,12,6.7,7,No,Yes,35560,2940,Desktop,East
132,64,Female,1066651,2,19.4,4,No,No,0,1089,Mobile,East
133,31,Male,1310205,13,37.7,1,No,Yes,71552,4578,Tablet,West
134,20,Male,955195,8,7.8,1,No,No,0,935,Mobile,East
135,18,Male,490160,2,32.3,5,No,No,0,2295,Mobile,South
136,22,Female,413920,1,37.8,8,Yes,No,0,155,Mobile,West
137,43,Female,1491380,5,23.4,0,Yes,Yes,79689,1070,Tablet,South
138,31,Female,853983,9,47.4,5,Yes,No,0,1958,Tablet,East
139,56,Female,1021052,17,10.9,8,Yes,No,0,2501,Mobile,East
140,44,Male,328148,9,9.1,7,Yes,Yes,19370,4219,Desktop,South
141,26,Male,1441290,11,45.1,5,No,No,0,3830,Desktop,North
142,32,Female,931899,15,32.3,2,Yes,No,0,854,Tablet,East
143,32,Male,483876,6,42.9,7,Yes,Yes,28085,639,Tablet,North
144,43,Male,459747,3,28.9,8,Yes,Yes,20231,2238,Tablet,East
145,59,Female,815650,17,18.6,0,Yes,Yes,36691,1602,Tablet,North
146,30,Male,623570,5,50.1,8,Yes,Yes,31161,441,Tablet,North
147,49,Female,475987,12,49,5,Yes,Yes,22948,4628,Desktop,North
148,56,Male,1227512,18,43.2,5,Yes,Yes,59109,1336,Tablet,South
149,49,Female,838353,14,20,3,No,Yes,45399,3700,Mobile,North
150,21,Female,1058158,11,37.5,0,No,Yes,57684,948,Mobile,North
151,47,Female,217640,9,24.9,9,Yes,No,0,3373,Desktop,North
152,54,Female,252528,2,10,7,No,No,0,459,Mobile,East
153,40,Male,459214,12,55.5,1,No,No,0,4646,Desktop,North
154,56,Female,1170240,3,12.5,0,No,No,0,392,Desktop,East
155,62,Female,701108,3,57.3,1,No,No,0,3938,Mobile,North
156,32,Female,834421,1,29.5,0,Yes,No,0,1787,Tablet,North
157,60,Male,1398735,8,15.2,0,No,No,0,4940,Mobile,South
158,46,Female,1421078,8,34.8,8,No,Yes,71495,2257,Mobile,East
159,53,Male,355576,11,53,0,No,No,0,1138,Desktop,North
160,30,Female,1124618,9,45.3,3,Yes,Yes,63618,3808,Mobile,East
161,49,Male,1065291,5,49.4,9,Yes,Yes,47556,4741,Desktop,East
162,24,Male,1086089,14,41.2,5,Yes,Yes,53336,2454,Tablet,West
163,39,Female,1128479,3,43.1,6,Yes,Yes,52839,1466,Tablet,South
164,45,Male,1259599,5,51.7,1,Yes,Yes,53647,3674,Tablet,South
165,19,Female,745735,5,18.7,5,Yes,No,0,1377,Mobile,South
166,59,Female,588043,19,31.9,6,Yes,Yes,28988,2597,Desktop,West
167,62,Female,266203,14,17.2,9,No,Yes,12701,141,Tablet,West
168,23,Male,1105588,4,59.3,9,No,No,0,2659,Desktop,South
169,45,Male,360775,13,56.9,1,No,Yes,25605,4596,Desktop,West
170,45,Female,1257913,10,7.2,1,Yes,Yes,66049,839,Tablet,West
171,61,Female,770715,18,43.8,9,Yes,No,0,3618,Tablet,West
172,61,Male,564167,8,55.9,6,Yes,Yes,23087,3917,Desktop,South
173,37,Female,887281,8,14.9,0,Yes,Yes,53634,595,Tablet,South
174,47,Female,620571,7,36.2,7,Yes,Yes,37133,1904,Desktop,South
175,28,Female,1375592,8,55.4,2,No,Yes,71690,280,Desktop,West
176,45,Male,991267,14,6.9,5,No,Yes,48430,423,Tablet,South
177,42,Male,697562,19,43.4,8,Yes,Yes,30080,4365,Mobile,West
178,56,Male,583934,6,21.4,5,Yes,Yes,27335,4249,Tablet,North
179,50,Female,517428,1,55.8,8,Yes,Yes,31315,1750,Mobile,West
180,18,Female,1242892,15,58.4,6,Yes,No,0,4757,Desktop,East
181,44,Female,890907,1,56.9,8,No,No,0,1967,Desktop,South
182,30,Male,282844,17,31.1,1,Yes,No,0,4088,Mobile,South
183,58,Female,1413997,1,52.4,7,Yes,Yes,80122,4178,Desktop,East
184,20,Female,322402,15,51.5,7,Yes,Yes,23836,2946,Mobile,West
185,56,Female,1366588,2,22.6,1,Yes,Yes,65885,1449,Mobile,North
186,23,Female,638661,14,50.6,3,No,No,0,2331,Desktop,East
187,25,Male,598929,8,7,6,Yes,Yes,24348,2220,Mobile,East
188,44,Male,780466,8,37.8,3,Yes,No,0,3789,Tablet,West
189,26,Female,773695,19,17.7,3,No,No,0,2810,Tablet,South
190,54,Male,663556,7,11.6,5,No,Yes,33882,4728,Desktop,West
191,50,Male,775278,19,9.2,9,No,Yes,29921,1531,Desktop,East
192,59,Female,1193176,6,43.3,5,Yes,Yes,61274,4882,Mobile,East
193,61,Female,1378049,6,23.7,9,Yes,Yes,68164,2990,Mobile,South
194,41,Male,1183049,3,44.9,2,No,No,0,4493,Mobile,South
195,32,Female,678007,7,8.6,8,No,No,0,1143,Mobile,South
196,49,Male,1044573,19,22.3,9,No,Yes,49898,933,Tablet,West
197,49,Female,1474732,8,34.7,1,No,No,0,1460,Tablet,South
198,41,Male,1417540,10,48.5,5,No,Yes,62903,2723,Desktop,East
199,58,Female,725303,15,22.5,6,No,Yes,38833,2512,Mobile,East
200,29,Male,1310389,15,39.4,8,Yes,Yes,62855,285,Mobile,North
201,56,Male,227712,1,53.7,2,Yes,No,0,264,Desktop,West
202,19,Male,312816,7,38.9,9,Yes,Yes,9791,2367,Mobile,North
203,20,Female,1377354,4,17.8,2,No,No,0,3447,Mobile,East
204,54,Male,485977,6,6.3,6,No,Yes,9937,4916,Mobile,North
205,34,Male,335230,1,52.9,3,No,Yes,16623,1762,Mobile,East
206,19,Female,1006741,5,6.2,7,No,Yes,59198,3048,Mobile,North
207,19,Female,469114,1,53.1,6,No,No,0,2381,Desktop,South
208,45,Male,1204208,4,34.1,4,No,No,0,2269,Mobile,North
209,40,Male,351456,2,56.6,6,Yes,No,0,40,Desktop,South
210,54,Female,1062312,10,48.9,2,Yes,Yes,61421,67,Mobile,South
211,49,Female,1354146,5,59.9,1,No,Yes,65421,987,Tablet,West
212,50,Female,470846,10,24.3,5,Yes,Yes,20531,4008,Tablet,South
213,18,Female,200404,1,47.2,1,No,No,0,3198,Tablet,South
214,36,Female,1158447,6,27.1,2,Yes,No,0,4790,Tablet,North
215,19,Male,903286,13,31.4,5,No,Yes,47508,2524,Desktop,East
216,61,Female,915460,15,39.5,4,No,No,0,1085,Desktop,West
217,43,Male,1084574,4,53.1,7,Yes,Yes,49236,2479,Mobile,South
218,49,Male,435365,13,59.1,8,Yes,Yes,23277,1693,Tablet,West
219,23,Male,542786,15,47.3,2,No,No,0,2315,Desktop,North
220,49,Female,1299188,8,28,9,No,Yes,68789,778,Mobile,South
221,21,Male,1010006,5,28.2,2,Yes,Yes,56634,4589,Mobile,North
222,28,Male,400244,15,45.6,2,Yes,Yes,19511,1585,Desktop,West
223,34,Female,1253385,4,18.1,5,No,No,0,1492,Tablet,North
224,55,Male,363273,12,11.1,0,Yes,No,0,660,Mobile,West
225,41,Male,1393104,13,24.5,6,No,No,0,1348,Tablet,North
226,22,Female,1287341,2,20.8,0,No,No,0,1299,Tablet,West
227,51,Male,1134604,19,21.3,4,No,No,0,3940,Tablet,East
228,23,Male,1043523,19,17.8,9,No,Yes,51157,1986,Mobile,North
229,39,Male,746237,4,7.3,7,Yes,No,0,2044,Tablet,North
230,28,Female,1449728,4,6,3,Yes,Yes,68096,3516,Mobile,East
231,33,Female,900903,11,59.3,4,Yes,Yes,40910,1058,Tablet,East
232,50,Female,292193,5,28.5,3,Yes,No,0,976,Mobile,North
233,26,Male,1284763,11,26.1,3,Yes,Yes,63105,4577,Tablet,East
234,23,Male,705950,10,42.4,7,Yes,No,0,727,Desktop,South
235,33,Female,1386887,8,17,1,Yes,Yes,71181,2527,Tablet,West
236,46,Male,1110886,6,57.2,0,No,No,0,3136,Tablet,West
237,20,Male,1000921,6,48.2,2,Yes,No,0,342,Mobile,West
238,37,Female,708153,8,9.9,8,Yes,No,0,1447,Mobile,South
239,53,Female,1437665,15,28,3,No,No,0,2379,Tablet,East
240,36,Male,786165,14,53.4,9,Yes,Yes,43876,3659,Desktop,East
241,43,Male,818362,11,57,4,Yes,Yes,36902,526,Desktop,North
242,20,Male,887409,12,30.7,1,No,No,0,1896,Mobile,East
243,36,Female,761419,13,38.7,3,Yes,Yes,45534,4754,Desktop,North
244,37,Female,840053,8,14.2,1,Yes,No,0,2073,Tablet,South
245,49,Female,1060395,18,59.5,1,Yes,Yes,51664,4915,Mobile,West
246,24,Female,325917,1,17.7,3,No,No,0,405,Tablet,West
247,58,Male,1010717,15,56.9,5,Yes,Yes,50429,1573,Mobile,West
248,50,Female,898168,8,40.7,6,Yes,Yes,41172,4600,Mobile,East
249,57,Female,681680,11,38.4,9,No,No,0,3740,Mobile,North
250,56,Female,1171375,12,33.2,2,Yes,Yes,46447,4274,Mobile,North
251,35,Female,481342,12,17.7,2,No,Yes,28487,4227,Desktop,South
252,57,Female,739542,4,14.7,9,No,Yes,40661,1846,Tablet,East
253,18,Male,1292814,16,17.1,5,Yes,No,0,1478,Tablet,South
254,28,Male,201252,4,15.3,2,No,No,0,2395,Tablet,North
255,45,Female,1026196,5,47.9,1,No,No,0,771,Mobile,North
256,42,Male,1064141,5,24.3,7,Yes,Yes,51800,578,Desktop,West
257,40,Female,515826,8,8.2,4,No,No,0,2901,Tablet,East
258,48,Female,805605,10,58.3,0,No,No,0,193,Desktop,North
259,47,Male,527359,17,53.6,2,Yes,No,0,2007,Mobile,West
260,59,Male,206949,9,56,9,Yes,Yes,10682,1185,Tablet,East
261,52,Female,963185,19,59.7,7,Yes,Yes,50738,2394,Desktop,South
262,24,Female,517537,14,14.6,3,No,Yes,18064,2998,Mobile,East
263,33,Female,862301,8,26.8,6,Yes,Yes,40469,1792,Desktop,East
264,43,Male,750222,9,46.7,9,No,No,0,1110,Tablet,North
265,19,Female,980722,11,43.3,1,No,Yes,53007,4005,Tablet,North
266,18,Female,676467,1,13.5,6,No,Yes,27551,2261,Mobile,East
267,29,Female,556600,14,49.9,4,No,Yes,29297,3736,Mobile,North
268,22,Male,1174304,5,17.3,4,No,No,0,3793,Mobile,North
269,54,Female,450875,14,17.3,5,No,Yes,15760,1936,Desktop,North
270,49,Female,663389,4,34.5,8,No,No,0,4875,Desktop,West
271,26,Male,270390,1,37.6,5,Yes,No,0,4357,Desktop,West
272,58,Female,907689,19,36.9,7,Yes,Yes,47716,729,Mobile,East
273,52,Female,453490,8,10,6,No,Yes,22496,4378,Tablet,North
274,36,Male,1496516,15,53.3,8,No,Yes,66750,3451,Tablet,West
275,33,Female,565340,15,19.6,3,Yes,Yes,34090,4457,Desktop,East
276,20,Male,633027,9,12.1,1,No,No,0,4536,Desktop,North
277,37,Male,1465040,9,53.9,6,Yes,Yes,69579,2140,Tablet,South
278,41,Female,850199,10,57.6,5,Yes,Yes,38458,1644,Tablet,North
279,50,Female,423777,9,52.4,0,Yes,Yes,22191,2800,Desktop,North
280,41,Female,1059909,3,49.5,8,No,No,0,4962,Desktop,West
281,28,Female,1254145,11,41,8,No,No,0,141,Tablet,East
282,25,Male,794124,6,35.3,1,Yes,Yes,45449,1455,Mobile,East
283,53,Female,828861,2,9.8,2,Yes,No,0,4796,Desktop,West
284,55,Male,629802,7,27.5,4,Yes,No,0,2096,Tablet,North
285,57,Female,458090,18,25.5,4,Yes,Yes,17825,1325,Tablet,South
286,37,Female,1293578,2,19.3,0,Yes,No,0,4976,Tablet,North
287,52,Female,971954,17,44.8,7,No,No,0,1213,Tablet,North
288,42,Male,861614,11,32.3,7,Yes,Yes,43389,1159,Mobile,South
289,52,Female,879574,12,9.5,3,No,Yes,46122,4650,Tablet,West
290,42,Female,698870,19,17.1,6,Yes,Yes,38409,4499,Desktop,East
291,46,Female,1460367,7,42.6,9,No,No,0,4987,Mobile,West
292,35,Female,402846,6,9.2,2,No,No,0,4697,Tablet,West
293,63,Male,866997,1,51.8,5,No,No,0,340,Mobile,North
294,35,Female,1272647,17,32.2,9,No,Yes,64514,3828,Desktop,East
295,19,Male,1228455,11,31.4,9,No,Yes,59587,1968,Tablet,East
296,52,Male,1112259,18,37.6,8,No,No,0,703,Desktop,West
297,33,Male,372312,17,50.4,0,Yes,No,0,4413,Tablet,South
298,58,Male,1463455,7,24.1,4,No,Yes,69034,2429,Tablet,West
299,53,Male,626650,17,42.3,3,Yes,Yes,31763,1800,Tablet,South
300,50,Male,531868,9,36.1,7,No,Yes,21232,4912,Tablet,East
