tweet_id,time,tweet,retweet_count
32,2025-10-23 20:33:38,BRS shows great success in recent times.,1071
33,2025-10-06 18:00:38,People criticize Mamata for inflation issues.,1504
34,2025-10-17 11:34:38,UPA shows great vision in recent times.,3830
35,2025-10-16 22:46:38,Modi shows great progress in recent times.,4440
36,2025-11-02 19:48:38,Citizens talk about Rahul during vote season.,844
37,2025-10-22 21:04:38,People criticize UPA for corruption issues.,2401
38,2025-10-06 17:59:38,People criticize AIADMK for corruption issues.,2656
39,2025-10-01 20:57:38,Citizens talk about TMC during poll season.,1897
40,2025-10-27 07:54:38,People criticize NDA for unemployment issues.,2714
41,2025-11-02 16:51:38,Citizens talk about BJP during rally season.,283
42,2025-10-25 00:37:38,AAP shows great development in recent times.,3657
43,2025-10-31 06:44:38,Citizens talk about AIADMK during speech season.,1967
44,2025-11-02 10:09:38,Citizens talk about DMK during speech season.,1737
45,2025-10-10 20:59:38,AAP shows great trust in recent times.,4083
46,2025-10-15 14:38:38,Citizens talk about KCR during discussion season.,3952
47,2025-10-08 06:46:38,People criticize Kejriwal for unemployment issues.,1470
48,2025-10-27 14:32:38,Stalin shows great progress in recent times.,2995
49,2025-10-28 10:21:38,People criticize NDA for criticism issues.,1446
50,2025-10-12 02:39:38,People criticize Kejriwal for corruption issues.,4299
51,2025-10-04 14:07:38,People criticize AAP for violence issues.,897
52,2025-10-09 18:44:38,BRS shows great success in recent times.,4561
53,2025-10-21 23:30:38,Citizens talk about Stalin during party season.,1865
54,2025-10-25 19:42:38,Citizens talk about Kejriwal during rally season.,1549
55,2025-10-12 04:37:38,AIADMK shows great vision in recent times.,1726
56,2025-10-12 16:19:38,People criticize BRS for unemployment issues.,4217
57,2025-11-01 15:30:38,People criticize AIADMK for violence issues.,2572
58,2025-10-30 19:56:38,People criticize AIADMK for blame issues.,4255
59,2025-10-25 19:36:38,People criticize AIADMK for violence issues.,3373
60,2025-10-06 19:18:38,Stalin shows great trust in recent times.,3585
61,2025-10-21 20:54:38,NDA shows great vision in recent times.,4328
62,2025-09-29 22:06:38,KCR shows great support in recent times.,226
63,2025-10-12 08:10:38,Citizens talk about AAP during manifesto season.,3820
64,2025-10-20 02:03:38,Citizens talk about BJP during rally season.,3472
65,2025-10-15 12:15:38,People criticize Rahul for scandal issues.,3453
66,2025-10-12 11:26:38,Citizens talk about UPA during rally season.,2496
67,2025-10-09 19:50:38,People criticize Kejriwal for violence issues.,755
68,2025-09-29 21:32:38,NDA shows great support in recent times.,4707
69,2025-10-01 16:17:38,TMC shows great progress in recent times.,3500
70,2025-10-16 15:05:38,People criticize AIADMK for unemployment issues.,3179
71,2025-10-07 03:46:38,Citizens talk about KCR during vote season.,4153
72,2025-10-22 11:54:38,Citizens talk about Kejriwal during vote season.,144
73,2025-10-16 06:46:38,Mamata shows great development in recent times.,1334
74,2025-10-13 06:43:38,People criticize AIADMK for unemployment issues.,145
75,2025-10-24 17:11:38,Citizens talk about BRS during party season.,1693
76,2025-11-01 16:43:38,Citizens talk about TMC during speech season.,122
77,2025-10-10 11:23:38,TMC shows great trust in recent times.,3704
78,2025-10-31 22:47:38,People criticize UPA for inflation issues.,2155
79,2025-10-26 10:13:38,Citizens talk about Kejriwal during rally season.,1525
80,2025-10-29 02:19:38,Citizens talk about DMK during election season.,4300
81,2025-10-07 16:30:38,Modi shows great stability in recent times.,4083
82,2025-10-01 13:32:38,Citizens talk about AAP during discussion season.,3146
83,2025-10-04 18:24:38,People criticize UPA for protest issues.,426
84,2025-10-31 22:50:38,Congress shows great stability in recent times.,1823
85,2025-10-31 16:23:38,Citizens talk about UPA during party season.,2893
86,2025-10-06 23:32:38,People criticize Rahul for inflation issues.,3476
87,2025-11-02 11:42:38,Citizens talk about Kejriwal during election season.,4039
88,2025-10-05 09:13:38,BRS shows great support in recent times.,3255
89,2025-10-02 03:49:38,People criticize Rahul for violence issues.,1220
90,2025-10-03 23:25:38,KCR shows great support in recent times.,1698
91,2025-10-21 14:18:38,People criticize Rahul for scandal issues.,1658
92,2025-10-02 18:02:38,Citizens talk about AAP during poll season.,3642
93,2025-10-09 15:59:38,People criticize Congress for blame issues.,2863
94,2025-10-04 17:56:38,Citizens talk about Congress during discussion season.,584
95,2025-10-25 06:17:38,Congress shows great support in recent times.,171
96,2025-10-02 09:44:38,Citizens talk about BRS during rally season.,1004
97,2025-10-14 13:31:38,People criticize TMC for blame issues.,1628
98,2025-10-15 16:07:38,Citizens talk about Stalin during election season.,4996
99,2025-10-07 11:07:38,DMK shows great progress in recent times.,2911
100,2025-10-23 23:12:38,People criticize Stalin for fraud issues.,900
101,2025-10-23 00:56:38,Citizens talk about Kejriwal during party season.,23
102,2025-10-22 10:59:38,Citizens talk about DMK during rally season.,704
103,2025-10-10 04:35:38,Citizens talk about Modi during discussion season.,2944
104,2025-10-15 20:26:38,Citizens talk about UPA during meeting season.,113
105,2025-10-24 05:42:38,Citizens talk about Rahul during election season.,381
106,2025-10-31 05:51:38,Congress shows great success in recent times.,3181
107,2025-10-31 11:05:38,People criticize AIADMK for failure issues.,4777
108,2025-10-02 05:44:38,DMK shows great unity in recent times.,2591
109,2025-10-14 00:48:38,Citizens talk about Mamata during discussion season.,2281
110,2025-10-08 07:47:38,People criticize Stalin for criticism issues.,2947
111,2025-10-22 22:23:38,Citizens talk about TMC during election season.,1499
112,2025-10-08 09:13:38,People criticize Kejriwal for blame issues.,2868
113,2025-11-02 16:25:38,Citizens talk about AIADMK during party season.,4974
114,2025-10-29 01:22:38,Citizens talk about Stalin during election season.,4928
115,2025-10-14 18:58:38,Modi shows great development in recent times.,3666
116,2025-10-24 10:31:38,People criticize Modi for criticism issues.,4048
117,2025-10-18 23:08:38,BJP shows great stability in recent times.,4882
118,2025-10-19 10:57:38,UPA shows great success in recent times.,803
119,2025-10-20 16:53:38,People criticize BRS for fraud issues.,3925
120,2025-10-20 17:48:38,Kejriwal shows great progress in recent times.,2455
121,2025-11-01 13:53:38,BRS shows great development in recent times.,1610
122,2025-10-05 05:52:38,People criticize Kejriwal for protest issues.,1043
123,2025-11-02 13:13:38,Kejriwal shows great development in recent times.,4086
124,2025-11-01 01:15:38,Citizens talk about AAP during meeting season.,1479
125,2025-10-16 15:00:38,Citizens talk about BRS during party season.,3116
126,2025-10-27 10:38:38,Rahul shows great trust in recent times.,4477
127,2025-10-10 15:38:38,BJP shows great development in recent times.,2680
128,2025-11-01 11:29:38,People criticize BRS for violence issues.,2560
129,2025-10-10 20:19:38,AIADMK shows great stability in recent times.,422
130,2025-10-29 09:25:38,People criticize BJP for blame issues.,3237
131,2025-10-04 05:48:38,Citizens talk about BRS during discussion season.,572
132,2025-10-22 04:40:38,People criticize NDA for failure issues.,392
133,2025-10-09 10:20:38,Citizens talk about AIADMK during vote season.,2305
134,2025-10-03 18:35:38,DMK shows great growth in recent times.,3884
135,2025-10-01 19:16:38,Citizens talk about AIADMK during vote season.,2522
136,2025-10-15 19:45:38,Citizens talk about Rahul during manifesto season.,4203
137,2025-11-02 02:09:38,People criticize BJP for fraud issues.,3439
138,2025-10-06 10:49:38,People criticize DMK for criticism issues.,1333
139,2025-10-12 19:33:38,People criticize BRS for protest issues.,1978
140,2025-10-30 06:54:38,Citizens talk about BRS during vote season.,3493
141,2025-10-20 05:44:38,Modi shows great leadership in recent times.,14
142,2025-10-17 09:41:38,Congress shows great stability in recent times.,2819
143,2025-09-30 07:55:38,Citizens talk about Modi during election season.,3209
144,2025-10-09 08:16:38,Citizens talk about Rahul during vote season.,3076
145,2025-10-16 20:55:38,Citizens talk about Mamata during speech season.,1317
146,2025-10-09 05:18:38,UPA shows great growth in recent times.,1366
147,2025-10-18 10:44:38,AAP shows great development in recent times.,1028
148,2025-10-08 19:57:38,TMC shows great trust in recent times.,3212
149,2025-10-04 17:43:38,Citizens talk about TMC during discussion season.,3837
150,2025-10-24 02:34:38,People criticize DMK for inflation issues.,1664
151,2025-10-17 13:15:38,KCR shows great growth in recent times.,85
152,2025-10-12 00:33:38,Citizens talk about TMC during meeting season.,1453
153,2025-10-03 04:36:38,NDA shows great stability in recent times.,2897
154,2025-10-09 00:24:38,Congress shows great trust in recent times.,608
155,2025-11-01 18:06:38,Citizens talk about Stalin during meeting season.,3927
156,2025-10-06 03:01:38,People criticize Mamata for unemployment issues.,3101
157,2025-10-09 06:54:38,NDA shows great leadership in recent times.,150
158,2025-10-26 02:24:38,AAP shows great stability in recent times.,1695
159,2025-10-16 14:44:38,KCR shows great support in recent times.,1895
160,2025-10-25 15:21:38,People criticize Modi for scandal issues.,1699
161,2025-10-30 07:22:38,Citizens talk about NDA during discussion season.,1249
162,2025-10-21 20:21:38,Citizens talk about BRS during poll season.,4180
163,2025-10-27 15:18:38,People criticize Kejriwal for criticism issues.,4966
164,2025-10-01 07:21:38,People criticize Modi for inflation issues.,2510
165,2025-10-08 15:10:38,People criticize KCR for scandal issues.,4096
166,2025-10-01 23:57:38,People criticize AAP for failure issues.,1151
167,2025-10-24 08:18:38,People criticize KCR for fraud issues.,3098
168,2025-10-16 00:55:38,People criticize UPA for corruption issues.,3538
169,2025-10-19 12:02:38,BRS shows great progress in recent times.,1762
170,2025-10-05 13:21:38,Rahul shows great leadership in recent times.,765
171,2025-10-23 06:32:38,Citizens talk about AIADMK during poll season.,3712
172,2025-10-31 15:56:38,Citizens talk about Congress during speech season.,4403
173,2025-10-31 05:12:38,Citizens talk about UPA during poll season.,830
174,2025-10-28 13:55:38,People criticize Stalin for failure issues.,1945
175,2025-10-20 01:52:38,TMC shows great progress in recent times.,666
176,2025-10-19 20:57:38,People criticize AAP for scandal issues.,4544
177,2025-10-24 23:03:38,Congress shows great vision in recent times.,2750
178,2025-10-26 10:51:38,Citizens talk about BRS during party season.,2709
179,2025-10-14 02:32:38,Citizens talk about Modi during party season.,3917
180,2025-10-11 06:20:38,Citizens talk about AAP during manifesto season.,2058
181,2025-10-17 07:18:38,Citizens talk about Modi during poll season.,2119
182,2025-10-11 15:02:38,Citizens talk about Kejriwal during party season.,610
183,2025-10-28 06:19:38,Citizens talk about Kejriwal during party season.,3194
184,2025-10-25 13:14:38,Kejriwal shows great leadership in recent times.,4519
185,2025-10-13 19:33:38,People criticize NDA for criticism issues.,1005
186,2025-10-31 20:11:38,Citizens talk about BJP during speech season.,1957
187,2025-10-04 21:03:38,People criticize BRS for blame issues.,2837
188,2025-10-16 05:00:38,Citizens talk about BRS during discussion season.,1407
189,2025-10-31 02:55:38,Citizens talk about Kejriwal during campaign season.,1294
190,2025-10-16 01:20:38,UPA shows great stability in recent times.,3114
191,2025-10-18 18:29:38,People criticize UPA for blame issues.,2413
192,2025-10-06 06:56:38,People criticize BJP for blame issues.,2972
193,2025-10-04 12:26:38,Citizens talk about BRS during manifesto season.,4036
194,2025-10-01 07:14:38,BRS shows great support in recent times.,22
195,2025-10-18 10:54:38,People criticize Rahul for unemployment issues.,4430
196,2025-10-19 10:45:38,People criticize UPA for criticism issues.,3552
197,2025-10-30 07:36:38,Citizens talk about KCR during party season.,63
198,2025-10-27 23:07:38,AAP shows great development in recent times.,987
199,2025-10-25 16:06:38,BRS shows great development in recent times.,3685
200,2025-10-09 04:59:38,Citizens talk about BJP during manifesto season.,967
201,2025-10-26 19:51:38,Congress shows great success in recent times.,1094
202,2025-10-04 18:48:38,Citizens talk about AIADMK during vote season.,431
203,2025-10-13 00:07:38,Rahul shows great success in recent times.,1295
204,2025-10-28 11:12:38,People criticize DMK for protest issues.,3734
205,2025-10-24 04:34:38,Citizens talk about UPA during speech season.,4001
206,2025-10-12 15:32:38,Citizens talk about Rahul during meeting season.,3136
207,2025-09-30 02:58:38,People criticize BJP for blame issues.,3608
208,2025-10-15 07:35:38,People criticize Mamata for blame issues.,2135
209,2025-10-19 11:21:38,Citizens talk about KCR during election season.,3920
210,2025-10-27 01:16:38,Kejriwal shows great success in recent times.,427
211,2025-10-29 12:26:38,Citizens talk about UPA during vote season.,1880
212,2025-10-28 11:59:38,Citizens talk about AIADMK during election season.,655
213,2025-10-27 08:46:38,People criticize AIADMK for blame issues.,795
214,2025-10-24 03:48:38,People criticize AIADMK for unemployment issues.,4698
215,2025-10-26 16:16:38,Citizens talk about Stalin during party season.,3298
216,2025-10-05 21:02:38,Citizens talk about Congress during speech season.,4218
217,2025-10-22 01:53:38,Citizens talk about BRS during poll season.,1668
218,2025-10-06 07:29:38,TMC shows great unity in recent times.,4505
219,2025-10-05 01:17:38,UPA shows great unity in recent times.,4891
220,2025-10-05 04:42:38,Citizens talk about Kejriwal during meeting season.,4814
221,2025-10-13 19:46:38,AAP shows great vision in recent times.,3113
222,2025-10-02 09:55:38,Citizens talk about Stalin during party season.,1990
223,2025-10-30 05:07:38,People criticize Modi for protest issues.,1133
224,2025-10-16 09:34:38,Citizens talk about Rahul during campaign season.,4705
225,2025-10-18 06:30:38,Citizens talk about AAP during discussion season.,1238
226,2025-10-18 20:14:38,DMK shows great support in recent times.,1838
227,2025-10-01 22:42:38,Citizens talk about AAP during meeting season.,2211
228,2025-10-08 17:32:38,Congress shows great leadership in recent times.,4896
229,2025-10-26 03:25:38,Kejriwal shows great development in recent times.,1365
230,2025-10-05 22:25:38,Citizens talk about Rahul during speech season.,2917
231,2025-10-13 21:10:38,Rahul shows great growth in recent times.,1549
232,2025-10-22 00:20:38,Modi shows great success in recent times.,4545
233,2025-10-28 00:03:38,People criticize UPA for scandal issues.,4894
234,2025-10-01 23:14:38,People criticize Stalin for violence issues.,3688
235,2025-10-01 13:51:38,Citizens talk about DMK during speech season.,1073
236,2025-10-07 08:23:38,Citizens talk about AIADMK during discussion season.,2961
237,2025-10-19 15:23:38,People criticize TMC for scandal issues.,556
238,2025-10-04 00:52:38,People criticize AIADMK for protest issues.,2915
239,2025-10-07 22:13:38,Citizens talk about NDA during speech season.,4592
240,2025-10-24 07:39:38,People criticize NDA for failure issues.,293
241,2025-10-04 20:22:38,NDA shows great unity in recent times.,4066
242,2025-10-20 03:08:38,Mamata shows great progress in recent times.,2766
243,2025-10-07 21:17:38,Congress shows great success in recent times.,3149
244,2025-10-15 07:14:38,DMK shows great stability in recent times.,4659
245,2025-11-01 17:12:38,People criticize AAP for failure issues.,2742
246,2025-10-11 07:28:38,People criticize Stalin for inflation issues.,4005
247,2025-10-19 14:54:38,Citizens talk about Congress during discussion season.,1411
248,2025-10-12 07:07:38,Citizens talk about DMK during vote season.,1676
249,2025-10-22 19:29:38,Citizens talk about Mamata during speech season.,3152
250,2025-10-19 14:57:38,People criticize AAP for criticism issues.,568
251,2025-10-09 19:10:38,People criticize TMC for failure issues.,1210
252,2025-11-01 13:45:38,Citizens talk about Modi during party season.,4370
253,2025-10-22 02:43:38,UPA shows great support in recent times.,615
254,2025-10-04 14:18:38,People criticize BRS for unemployment issues.,2205
255,2025-10-30 13:27:38,People criticize BRS for violence issues.,1669
256,2025-10-16 10:31:38,Citizens talk about Stalin during election season.,1927
257,2025-10-27 18:32:38,DMK shows great vision in recent times.,3675
258,2025-10-13 20:21:38,UPA shows great development in recent times.,1883
259,2025-10-11 10:39:38,People criticize DMK for scandal issues.,4810
260,2025-10-09 20:23:38,People criticize BJP for blame issues.,3319
261,2025-10-15 04:40:38,Citizens talk about Stalin during poll season.,2976
262,2025-10-24 09:24:38,People criticize UPA for corruption issues.,2139
263,2025-10-20 18:45:38,BRS shows great trust in recent times.,4961
264,2025-10-23 07:58:38,KCR shows great success in recent times.,3715
265,2025-10-23 08:01:38,TMC shows great support in recent times.,4348
266,2025-10-27 05:16:38,People criticize BJP for criticism issues.,2161
267,2025-10-04 15:14:38,Stalin shows great success in recent times.,4760
268,2025-10-02 10:28:38,People criticize NDA for protest issues.,86
269,2025-10-07 17:39:38,Citizens talk about Rahul during speech season.,866
270,2025-10-03 01:15:38,Stalin shows great stability in recent times.,1904
271,2025-11-01 10:02:38,People criticize KCR for violence issues.,3719
272,2025-10-16 09:10:38,Citizens talk about KCR during meeting season.,2323
273,2025-10-03 05:42:38,People criticize AIADMK for protest issues.,578
274,2025-10-18 11:03:38,Kejriwal shows great development in recent times.,4120
275,2025-10-24 06:59:38,Citizens talk about Kejriwal during poll season.,206
276,2025-10-31 01:47:38,Congress shows great development in recent times.,1182
277,2025-10-16 21:56:38,Stalin shows great stability in recent times.,567
278,2025-10-16 23:33:38,Citizens talk about Stalin during election season.,2292
279,2025-10-04 17:46:38,Citizens talk about DMK during meeting season.,954
280,2025-10-26 16:04:38,Citizens talk about Kejriwal during speech season.,2005
281,2025-10-14 14:09:38,DMK shows great vision in recent times.,1080
282,2025-10-25 19:37:38,Citizens talk about TMC during election season.,3066
283,2025-10-13 05:32:38,Citizens talk about UPA during discussion season.,4223
284,2025-10-09 11:38:38,Citizens talk about Mamata during vote season.,2688
285,2025-10-31 04:03:38,People criticize BRS for failure issues.,4962
286,2025-11-02 06:21:38,Citizens talk about TMC during meeting season.,3253
287,2025-10-11 12:26:38,People criticize KCR for failure issues.,3951
288,2025-11-02 12:55:38,Citizens talk about TMC during vote season.,2326
289,2025-10-07 07:47:38,BRS shows great leadership in recent times.,1776
290,2025-10-20 06:39:38,Congress shows great support in recent times.,779
291,2025-10-16 04:29:38,People criticize Stalin for violence issues.,4731
292,2025-10-04 20:00:38,People criticize Rahul for failure issues.,4286
293,2025-10-04 10:35:38,People criticize Rahul for criticism issues.,2533
294,2025-10-14 23:41:38,Citizens talk about NDA during discussion season.,2295
295,2025-10-08 09:29:38,People criticize Congress for violence issues.,1434
296,2025-10-18 18:42:38,Citizens talk about BRS during election season.,306
297,2025-10-10 01:18:38,People criticize DMK for fraud issues.,2790
298,2025-10-02 12:13:38,People criticize NDA for unemployment issues.,2995
299,2025-10-02 07:14:38,Citizens talk about BJP during party season.,2347
300,2025-10-13 08:40:38,AAP shows great stability in recent times.,2514
301,2025-10-05 13:08:38,TMC shows great development in recent times.,4131
302,2025-10-13 06:56:38,DMK shows great stability in recent times.,4040
303,2025-10-21 07:08:38,Mamata shows great support in recent times.,2102
304,2025-11-02 16:03:38,UPA shows great success in recent times.,2279
305,2025-10-11 08:27:38,DMK shows great success in recent times.,345
306,2025-10-01 02:56:38,People criticize UPA for protest issues.,3670
307,2025-11-02 22:12:38,Congress shows great stability in recent times.,2641
308,2025-09-30 11:08:38,People criticize KCR for inflation issues.,2052
309,2025-10-24 12:05:38,Mamata shows great leadership in recent times.,3298
310,2025-10-18 21:56:38,People criticize UPA for fraud issues.,2698
311,2025-10-02 20:35:38,Citizens talk about Modi during speech season.,3409
312,2025-10-05 20:07:38,BRS shows great success in recent times.,561
313,2025-10-18 11:01:38,People criticize NDA for scandal issues.,606
314,2025-10-17 13:23:38,Kejriwal shows great trust in recent times.,3198
315,2025-10-18 02:05:38,AAP shows great growth in recent times.,3073
316,2025-10-25 01:16:38,People criticize AAP for protest issues.,981
317,2025-10-13 11:36:38,Citizens talk about AAP during manifesto season.,1964
318,2025-10-21 06:13:38,TMC shows great growth in recent times.,3798
319,2025-10-23 21:36:38,AIADMK shows great progress in recent times.,488
320,2025-10-09 14:35:38,Citizens talk about BRS during party season.,2098
321,2025-10-16 22:40:38,People criticize AAP for unemployment issues.,403
322,2025-10-30 19:42:38,People criticize NDA for scandal issues.,3054
323,2025-10-25 03:41:38,UPA shows great stability in recent times.,3588
324,2025-10-21 15:29:38,NDA shows great leadership in recent times.,4549
325,2025-10-30 05:19:38,TMC shows great growth in recent times.,1076
326,2025-11-02 20:40:38,People criticize BJP for failure issues.,2503
327,2025-11-03 07:28:38,People criticize Congress for fraud issues.,1154
328,2025-10-23 09:06:38,People criticize Stalin for corruption issues.,2542
329,2025-10-31 11:05:38,People criticize Mamata for failure issues.,408
330,2025-10-04 14:11:38,People criticize BRS for unemployment issues.,3323
331,2025-10-18 22:00:38,Modi shows great trust in recent times.,3131
332,2025-10-11 04:38:38,Citizens talk about Rahul during campaign season.,2794
333,2025-10-11 17:15:38,People criticize Congress for unemployment issues.,828
334,2025-10-05 15:10:38,BJP shows great growth in recent times.,4062
335,2025-10-13 05:08:38,Citizens talk about BRS during election season.,2821
336,2025-10-21 18:05:38,Citizens talk about Mamata during election season.,2284
337,2025-10-31 01:45:38,Citizens talk about Kejriwal during manifesto season.,2042
338,2025-10-12 13:44:38,Citizens talk about Modi during manifesto season.,1159
339,2025-10-02 01:44:38,BJP shows great trust in recent times.,761
340,2025-10-20 08:38:38,NDA shows great unity in recent times.,2336
341,2025-10-29 05:43:38,BJP shows great success in recent times.,3791
342,2025-10-31 10:07:38,People criticize KCR for corruption issues.,2973
343,2025-09-30 04:11:38,People criticize TMC for protest issues.,320
344,2025-10-10 03:00:38,People criticize BJP for corruption issues.,2690
345,2025-10-04 02:33:38,Kejriwal shows great success in recent times.,2163
346,2025-11-03 12:51:38,DMK shows great growth in recent times.,3147
347,2025-10-11 23:45:38,Citizens talk about UPA during campaign season.,3349
348,2025-11-01 01:51:38,AAP shows great development in recent times.,4004
349,2025-10-28 07:22:38,People criticize Congress for violence issues.,4288
350,2025-10-04 20:54:38,People criticize BRS for criticism issues.,2254
351,2025-10-23 17:02:38,Citizens talk about Congress during manifesto season.,3447
352,2025-10-15 18:18:38,Citizens talk about Congress during discussion season.,3460
353,2025-10-15 15:31:38,Citizens talk about Modi during meeting season.,4976
354,2025-10-09 13:07:38,TMC shows great stability in recent times.,3269
355,2025-10-06 19:26:38,Citizens talk about KCR during vote season.,3866
356,2025-10-19 23:22:38,Stalin shows great unity in recent times.,1548
357,2025-10-27 04:18:38,People criticize DMK for blame issues.,3382
358,2025-10-26 12:57:38,KCR shows great leadership in recent times.,730
359,2025-10-24 16:30:38,KCR shows great growth in recent times.,2906
360,2025-10-04 06:20:38,BRS shows great trust in recent times.,4405
361,2025-10-11 16:20:38,People criticize Mamata for violence issues.,1758
362,2025-10-05 01:50:38,Citizens talk about Congress during party season.,1945
363,2025-10-21 00:53:38,Congress shows great development in recent times.,1559
364,2025-10-29 04:27:38,DMK shows great support in recent times.,1604
365,2025-10-15 02:44:38,People criticize TMC for blame issues.,2724
366,2025-10-10 12:45:38,People criticize Kejriwal for criticism issues.,2526
367,2025-10-29 20:03:38,Citizens talk about TMC during speech season.,247
368,2025-10-12 20:20:38,Citizens talk about BJP during election season.,95
369,2025-10-21 05:59:38,Citizens talk about BRS during poll season.,829
370,2025-11-01 13:35:38,Citizens talk about BJP during vote season.,2637
371,2025-10-21 17:07:38,People criticize AAP for violence issues.,3650
372,2025-10-28 19:01:38,Citizens talk about KCR during meeting season.,3891
373,2025-10-21 16:31:38,TMC shows great support in recent times.,2587
374,2025-10-12 18:58:38,Citizens talk about Mamata during vote season.,270
375,2025-10-11 20:48:38,Citizens talk about KCR during manifesto season.,1397
376,2025-10-14 15:58:38,Citizens talk about NDA during discussion season.,2407
377,2025-10-16 08:49:38,Citizens talk about AIADMK during meeting season.,3204
378,2025-10-10 23:43:38,Citizens talk about Congress during vote season.,3784
379,2025-10-30 21:39:38,TMC shows great development in recent times.,420
380,2025-10-24 02:56:38,People criticize Rahul for fraud issues.,2645
381,2025-10-16 14:14:38,People criticize NDA for unemployment issues.,3944
382,2025-11-01 23:27:38,Citizens talk about Mamata during discussion season.,3253
383,2025-10-06 20:44:38,Congress shows great support in recent times.,924
384,2025-10-30 12:16:38,Citizens talk about Rahul during party season.,2650
385,2025-10-05 08:22:38,AAP shows great support in recent times.,1054
386,2025-11-02 11:36:38,Citizens talk about BJP during manifesto season.,20
387,2025-10-06 22:30:38,Citizens talk about BJP during meeting season.,121
388,2025-10-18 02:09:38,People criticize Stalin for failure issues.,2369
389,2025-10-27 17:43:38,People criticize BRS for criticism issues.,513
390,2025-10-17 10:26:38,Citizens talk about AAP during discussion season.,3932
391,2025-10-14 18:01:38,Kejriwal shows great development in recent times.,2118
392,2025-11-02 14:05:38,Kejriwal shows great trust in recent times.,2944
393,2025-10-24 01:14:38,Citizens talk about AIADMK during meeting season.,2450
394,2025-10-27 12:50:38,Citizens talk about Modi during manifesto season.,1225
395,2025-10-28 04:36:38,Citizens talk about Modi during poll season.,23
396,2025-10-03 18:09:38,People criticize Mamata for violence issues.,404
397,2025-10-01 14:39:38,Citizens talk about AAP during discussion season.,230
398,2025-10-25 07:19:38,People criticize Congress for scandal issues.,4713
399,2025-10-19 21:28:38,Citizens talk about Stalin during speech season.,3120
400,2025-10-07 02:17:38,Citizens talk about TMC during election season.,1901
401,2025-10-25 11:41:38,Citizens talk about AIADMK during speech season.,1541
402,2025-10-07 09:12:38,BJP shows great progress in recent times.,2211
403,2025-10-14 16:35:38,Citizens talk about TMC during manifesto season.,2169
404,2025-10-15 10:07:38,People criticize Kejriwal for blame issues.,962
405,2025-10-10 15:11:38,Citizens talk about AAP during manifesto season.,436
406,2025-10-12 03:56:38,Citizens talk about Stalin during speech season.,3120
407,2025-11-03 01:43:38,People criticize BJP for protest issues.,2514
408,2025-10-17 19:44:38,Mamata shows great growth in recent times.,970
409,2025-10-16 06:12:38,DMK shows great unity in recent times.,2743
410,2025-10-03 13:37:38,Citizens talk about Modi during election season.,4233
411,2025-10-19 19:33:38,Citizens talk about BJP during rally season.,4461
412,2025-10-19 15:28:38,Citizens talk about TMC during election season.,2420
413,2025-10-29 00:44:38,BRS shows great progress in recent times.,3141
414,2025-11-02 10:56:38,Mamata shows great unity in recent times.,1030
415,2025-10-27 19:58:38,AIADMK shows great success in recent times.,338
416,2025-10-21 23:24:38,Citizens talk about UPA during discussion season.,532
417,2025-10-24 11:54:38,People criticize AAP for blame issues.,3906
418,2025-10-18 00:49:38,Citizens talk about BRS during campaign season.,521
419,2025-10-11 18:24:38,Citizens talk about BRS during party season.,823
420,2025-10-10 23:37:38,Citizens talk about AIADMK during rally season.,4916
